state_code,h2a_workers,operations,workers_per_operation
AK,54,1173.0,0.04603580562659847
AL,2190,37362.0,0.05861570579733419
AR,6106,37756.0,0.16172264011018117
AZ,6145,16710.0,0.3677438659485338
CA,32613,63134.0,0.516567934868692
CO,2425,36056.0,0.06725648990459286
CT,246,5058.0,0.04863582443653618
DE,46,2158.0,0.021316033364226137
FL,75053,44703.0,1.6789253517661007
GA,29375,39264.0,0.7481407905460473
HI,124,6569.0,0.018876541330491704
IA,1029,86911.0,0.011839698081945899
ID,7342,22877.0,0.32093368885780477
IL,789,71123.0,0.011093457812521969
IN,1741,53599.0,0.0324819492900987
KS,1235,55734.0,0.022158825851365416
KY,9492,69425.0,0.13672308246308967
LA,11168,25006.0,0.446612812924898
MA,109,7083.0,0.015388959480446138
MD,805,12550.0,0.06414342629482071
ME,771,7036.0,0.1095793064241046
MI,11648,45581.0,0.25554507360523027
MN,2275,65531.0,0.03471639376783507
MO,757,87887.0,0.008613333029913411
MS,8224,31290.0,0.26283157558325343
MT,1254,24266.0,0.051677243880326386
NC,31540,42817.0,0.7366233038279189
ND,1826,25068.0,0.07284187011329185
NE,1165,44479.0,0.02619213561455968
NH,2274,3949.0,0.5758419853127374
NJ,1213,9998.0,0.1213242648529706
NM,1683,20976.0,0.0802345537757437
NV,2071,3122.0,0.6633568225496477
NY,6676,30650.0,0.21781402936378466
OH,1441,76009.0,0.018958281256167032
OK,2046,70378.0,0.02907158487027196
OR,8208,35547.0,0.23090556165077222
PA,1308,49053.0,0.02666503577762828
RI,0,1054.0,0.0
SC,7480,22633.0,0.33049087615428796
SD,781,28299.0,0.02759814834446447
TN,5124,63105.0,0.08119800332778702
TX,8959,230662.0,0.03884038116378077
UT,1577,17386.0,0.09070516507534798
VA,19005,38995.0,0.4873701756635466
VT,952,6537.0,0.1456325531589414
WA,23298,32076.0,0.7263374485596708
WI,919,58521.0,0.015703764460620974
WV,262,22787.0,0.011497783824110238
WY,461,10544.0,0.04372154779969651
