state,random_intercept,random_slope_time
North Carolina,48.62896168121447,6.383938248394199
Pennsylvania,26.4817368060941,3.4768999593696517
California,25.09117400978546,3.2943408062872113
Illinois,24.463397912773935,3.211533788425921
Texas,22.336256064660645,2.9328186512512744
Missouri,22.02407770636513,2.8913509479300425
Florida,16.896996913238258,2.2173189628950603
New Jersey,12.882738737401835,1.6909159939202247
Kansas,10.110396660971803,1.3278318534216142
Iowa,9.024661904780253,1.1850956683553853
Georgia,7.243297807698361,0.9502803585648452
Ohio,7.083512755928929,0.9301285204372672
Wisconsin,4.228248142994695,0.5550876354680437
Indiana,3.6017209158578614,0.4729724644692431
Minnesota,3.1918779576363314,0.4190673084384496
Michigan,1.4936207251928546,0.19590632661729002
Nebraska,1.2351065317570329,0.1623227724164415
New York,-0.9828611554415743,-0.12908659503014952
Massachusetts,-1.2131815189733663,-0.15959181724449054
Oregon,-1.3725979144743752,-0.18034848837453205
Washington,-1.9310875695981276,-0.2534939690115365
South Carolina,-2.2838469825395813,-0.299643364703134
Tennessee,-2.639288463364518,-0.3468740376184653
Maryland,-5.009040236891703,-0.6575462732913585
North Dakota,-5.685214646792221,-0.7462472551006969
Arizona,-5.9744197889448545,-0.7842719498378351
South Dakota,-6.001149222803858,-0.7877084294871213
Virginia,-6.608260750998499,-0.8674436606346766
Utah,-6.976679024229569,-0.9159586399371471
Colorado,-7.101984469656945,-0.9323816741369083
Connecticut,-7.28132273621246,-0.9560840244545915
Mississippi,-7.73729401582277,-1.0157590256745421
Delaware,-8.01332078369304,-1.0520205734102825
Idaho,-8.12596743027345,-1.0667986407826509
Montana,-8.423848234752903,-1.1059468813312165
Alaska,-8.486436126476852,-1.1141085664593653
Arkansas,-8.530393932614489,-1.1198502384597948
Oklahoma,-8.747826407115303,-1.14835035370016
Alabama,-9.165388339783696,-1.2032954120335122
Rhode Island,-9.173970427583493,-1.2042708634508477
Nevada,-9.203075680841012,-1.208151644740166
New Hampshire,-10.517542119685736,-1.3807534569054796
Louisiana,-10.575368814061608,-1.3883687492824668
Hawaii,-10.713413541052141,-1.4064173744483257
West Virginia,-10.893592133950195,-1.4301339776025142
New Mexico,-10.944650834721013,-1.436755624054525
Wyoming,-11.027932002169845,-1.4477521904456514
Kentucky,-11.514828318261486,-1.5117140565315546
Maine,-11.564639430463373,-1.5182244074077345
Vermont,-11.597360179961893,-1.5224580510595653
